Journée,date,hour,team1,team2,score1,score2
Journée 25,26/02/23,,Lorient,Auxerre,0,1
Journée 25,26/02/23,,Ajaccio,Troyes,2,1
Journée 25,26/02/23,,Clermont,Strasbourg,1,1
Journée 25,26/02/23,,Nantes,Reims,0,1
Journée 25,26/02/23,,Monaco,Nice,0,3
Journée 25,26/02/23,,Marseille,Toulouse,0,3
Journée 26,03/03/23,,Nice,Auxerre,1,1
Journée 26,04/03/23,,Lens,Lille,1,1
Journée 26,05/03/23,,Paris-SG,Nantes,4,2
Journée 26,05/03/23,,Troyes,Monaco,2,2
Journée 26,05/03/23,,Montpellier,Strasbourg,5,0
Journée 26,05/03/23,,Reims,Ajaccio,1,0
Journée 26,05/03/23,,Toulouse,Clermont,0,1
Journée 26,05/03/23,,Lyon,Lorient,0,0
Journée 26,05/03/23,,Rennes,Marseille,0,1
Journée 27,10/03/23,,Lille,Lyon,3,3
Journée 27,11/03/23,,Auxerre,Rennes,0,0
Journée 27,12/03/23,,Brest,Paris-SG,1,2
Journée 27,12/03/23,,Clermont,Lens,0,4
Journée 27,12/03/23,,Ajaccio,Montpellier,0,1
Journée 27,12/03/23,,Angers,Toulouse,0,2
Journée 27,12/03/23,,Lorient,Troyes,2,0
Journée 27,12/03/23,,Nantes,Nice,2,2
Journée 27,12/03/23,,Monaco,Reims,0,1
Journée 27,12/03/23,,Marseille,Strasbourg,2,2
Journée 28,17/03/23,,Lyon,Nantes,1,1
Journée 28,18/03/23,,Toulouse,Lille,0,2
Journée 28,19/03/23,,Lens,Angers,3,0
Journée 28,19/03/23,,Ajaccio,Monaco,0,2
Journée 28,19/03/23,,Troyes,Brest,2,2
Journée 28,19/03/23,,Montpellier,Clermont,2,1
Journée 28,19/03/23,,Nice,Lorient,1,1
Journée 28,19/03/23,,Strasbourg,Auxerre,2,0
Journée 28,19/03/23,,Paris-SG,Rennes,0,2
Journée 28,19/03/23,,Reims,Marseille,1,2
Journée 29,31/03/23,,Marseille,Montpellier,1,1
Journée 29,01/04/23,,Auxerre,Troyes,1,0
Journée 29,02/04/23,,Rennes,Lens,0,1
Journée 29,02/04/23,,Lille,Lorient,3,1
Journée 29,02/04/23,,Angers,Nice,1,1
Journée 29,02/04/23,,Clermont,Ajaccio,2,1
Journée 29,02/04/23,,Nantes,Reims,0,3
Journée 29,02/04/23,,Brest,Toulouse,3,1
Journée 29,02/04/23,,Monaco,Strasbourg,4,3
Journée 29,02/04/23,,Paris-SG,Lyon,0,1
Journée 30,07/04/23,,Lens,Strasbourg,2,1
Journée 30,08/04/23,,Angers,Lille,1,0
Journée 30,09/04/23,,Nice,Paris-SG,0,2
Journée 30,09/04/23,,Lyon,Rennes,3,1
Journée 30,09/04/23,,Ajaccio,Auxerre,0,3
Journée 30,09/04/23,,Troyes,Clermont,0,2
Journée 30,09/04/23,,Montpellier,Toulouse,1,2
Journée 30,09/04/23,,Reims,Brest,1,1
Journée 30,09/04/23,,Nantes,Monaco,2,2
Journée 30,09/04/23,,Lorient,Marseille,0,0
Journée 31,14/04/23,,Toulouse,Lyon,1,2
Journée 31,15/04/23,,Rennes,Reims,3,0
Journée 31,16/04/23,,Paris-SG,Lens,3,1
Journée 31,16/04/23,,Lille,Montpellier,2,1
Journée 31,16/04/23,,Auxerre,Nantes,2,1
Journée 31,16/04/23,,Clermont,Angers,2,1
Journée 31,16/04/23,,Strasbourg,Ajaccio,3,1
Journée 31,16/04/23,,Brest,Nice,1,0
Journée 31,16/04/23,,Monaco,Lorient,3,1
Journée 31,16/04/23,,Marseille,Troyes,3,1
Journée 32,21/04/23,,Angers,Paris-SG,1,2
Journée 32,22/04/23,,Auxerre,Lille,1,1
Journée 32,23/04/23,,Lens,Monaco,3,0
Journée 32,23/04/23,,Reims,Strasbourg,0,2
Journée 32,23/04/23,,Ajaccio,Brest,0,0
Journée 32,23/04/23,,Lorient,Toulouse,0,1
Journée 32,23/04/23,,Nantes,Troyes,2,2
Journée 32,23/04/23,,Nice,Clermont,1,2
Journée 32,23/04/23,,Montpellier,Rennes,1,0
Journée 32,23/04/23,,Lyon,Marseille,1,2
Journée 33,28/04/23,,Strasbourg,Lyon,1,2
Journée 33,29/04/23,,Lille,Ajaccio,3,0
Journée 33,30/04/23,,Monaco,Montpellier,0,4
Journée 33,01/05/23,,Clermont,Reims,1,0
Journée 33,01/05/23,,Troyes,Nice,0,1
Journée 33,01/05/23,,Rennes,Angers,4,2
Journée 33,01/05/23,,Paris-SG,Lorient,1,3
Journée 33,02/05/23,,Marseille,Auxerre,2,1
Journée 33,03/05/23,,Toulouse,Lens,0,1
Journée 33,04/05/23,,Brest,Nantes,2,0
Journée 34,06/05/23,,Nice,Rennes,2,1
Journée 34,07/05/23,,Reims,Lille,1,0
Journée 34,07/05/23,,Lens,Marseille,2,1
Journée 34,07/05/23,,Angers,Monaco,1,2
Journée 34,07/05/23,,Ajaccio,Toulouse,0,0
Journée 34,07/05/23,,Auxerre,Clermont,1,1
Journée 34,07/05/23,,Lorient,Brest,2,1
Journée 34,07/05/23,,Nantes,Strasbourg,0,2
Journée 34,07/05/23,,Lyon,Montpellier,5,4
Journée 34,07/05/23,,Troyes,Paris-SG,1,3
Journée 35,12/05/23,,Lens,Reims,2,1
Journée 35,13/05/23,,Strasbourg,Nice,2,0
Journée 35,13/05/23,,Paris-SG,Ajaccio,5,0
Journée 35,14/05/23,,Clermont,Lyon,2,1
Journée 35,14/05/23,,Montpellier,Brest,1,1
Journée 35,14/05/23,,Rennes,Troyes,4,0
Journée 35,14/05/23,,Toulouse,Nantes,0,0
Journée 35,14/05/23,,Monaco,Lille,0,0
Journée 35,14/05/23,,Marseille,Angers,3,1
Journée 36,19/05/23,,Lyon,Monaco,3,1
Journée 36,20/05/23,,Nantes,Montpellier,0,3
Journée 36,20/05/23,,Lille,Marseille,2,1
Journée 36,21/05/23,,Ajaccio,Rennes,0,5
Journée 36,21/05/23,,Troyes,Strasbourg,1,1
Journée 36,21/05/23,,Nice,Toulouse,0,0
Journée 36,21/05/23,,Brest,Clermont,2,1
Journée 36,21/05/23,,Reims,Angers,2,2
Journée 36,21/05/23,,Lorient,Lens,1,3
Journée 36,21/05/23,,Auxerre,Paris-SG,1,2
Journée 37,27/05/23,,Angers,Troyes,2,1
Journée 37,27/05/23,,Clermont,Lorient,2,0
Journée 37,27/05/23,,Lille,Nantes,2,1
Journée 37,27/05/23,,Montpellier,Nice,2,3
Journée 37,27/05/23,,Marseille,Brest,1,2
Journée 37,27/05/23,,Lyon,Reims,3,0
Journée 37,27/05/23,,Lens,Ajaccio,3,0
Journée 37,27/05/23,,Strasbourg,Paris-SG,1,1
Journée 37,27/05/23,,Rennes,Monaco,2,0
Journée 37,27/05/23,,Toulouse,Auxerre,1,1
Journée 38,03/06/23,,Ajaccio,Marseille,1,0
Journée 38,03/06/23,,Auxerre,Lens,1,3
Journée 38,03/06/23,,Monaco,Toulouse,1,2
Journée 38,03/06/23,,Troyes,Lille,1,1
Journée 38,03/06/23,,Lorient,Strasbourg,2,1
Journée 38,03/06/23,,Nantes,Angers,1,0
Journée 38,03/06/23,,Nice,Lyon,3,1
Journée 38,03/06/23,,Paris-SG,Clermont,2,3
Journée 38,03/06/23,,Brest,Rennes,1,2
Journée 38,03/06/23,,Reims,Montpellier,1,3
