round,date,hour,team1,team2,score1,score2
6,2023-09-24,14:00,Le Havre,Clermont,2,1
6,2023-09-24,14:00,Lens,Toulouse,2,1
6,2023-09-24,16:05,Montpellier,Rennes,0,0
6,2023-09-24,19:45,Paris SG,Marseille,4,0
6,2023-09-26,20:00,Lille,Reims,1,2
7,2023-09-29,20:00,Strasbourg,Lens,0,1
7,2023-09-30,16:00,Clermont,Paris SG,0,0
7,2023-09-30,20:00,Monaco,Marseille,3,2
7,2023-10-01,12:00,Reims,Lyon,2,0
7,2023-10-01,14:00,Le Havre,Lille,0,2
7,2023-10-01,14:00,Nice,Brest,0,0
7,2023-10-01,14:00,Toulouse,Metz,3,0
7,2023-10-01,16:05,Lorient,Montpellier,0,3
7,2023-10-01,19:45,Rennes,Nantes,3,1
8,2023-10-06,20:00,Strasbourg,Nantes,1,2
8,2023-10-07,16:00,Metz,Nice,0,1
8,2023-10-07,20:00,Reims,Monaco,1,3
8,2023-10-08,12:00,Marseille,Le Havre,3,0
8,2023-10-08,14:00,Brest,Toulouse,1,1
8,2023-10-08,14:00,Lyon,Lorient,3,3
8,2023-10-08,16:05,Lens,Lille,1,1
8,2023-10-08,19:45,Rennes,Paris SG,1,3
8,2023-11-29,18:00,Montpellier,Clermont,1,1
9,2023-10-20,20:00,Le Havre,Lens,0,0
9,2023-10-21,16:00,Paris SG,Strasbourg,3,0
9,2023-10-21,20:00,Nice,Marseille,1,0
9,2023-10-22,12:00,Lorient,Rennes,2,1
9,2023-10-22,14:00,Lille,Brest,1,0
9,2023-10-22,14:00,Nantes,Montpellier,2,0
9,2023-10-22,14:00,Toulouse,Reims,1,1
9,2023-10-22,16:05,Monaco,Metz,2,1
9,2023-10-22,19:45,Lyon,Clermont,1,2
10,2023-10-27,20:00,Clermont,Nice,0,1
10,2023-10-28,16:00,Reims,Lorient,1,0
10,2023-10-28,20:00,Lens,Nantes,4,0
10,2023-10-29,12:00,Brest,Paris SG,2,3
10,2023-10-29,14:00,Lille,Monaco,2,0
10,2023-10-29,14:00,Metz,Le Havre,0,0
10,2023-10-29,14:00,Montpellier,Toulouse,3,0
10,2023-10-29,16:05,Rennes,Strasbourg,1,1
10,2023-12-06,20:00,Marseille,Lyon,3,0
11,2023-11-03,20:00,Paris SG,Montpellier,3,0
11,2023-11-04,16:00,Lorient,Lens,0,0
11,2023-11-04,20:00,Marseille,Lille,0,0
11,2023-11-05,12:00,Lyon,Metz,1,1
11,2023-11-05,14:00,Nantes,Reims,0,1
11,2023-11-05,14:00,Strasbourg,Clermont,0,0
11,2023-11-05,14:00,Toulouse,Le Havre,1,2
11,2023-11-05,16:05,Monaco,Brest,2,0
11,2023-11-05,19:45,Nice,Rennes,2,0
12,2023-11-10,20:00,Montpellier,Nice,0,0
12,2023-11-11,16:00,Reims,Paris SG,0,3
12,2023-11-11,20:00,Le Havre,Monaco,0,0
12,2023-11-12,14:00,Clermont,Lorient,1,0
12,2023-11-12,14:00,Lille,Toulouse,1,1
12,2023-11-12,14:00,Metz,Nantes,3,1
12,2023-11-12,16:05,Rennes,Lyon,0,1
12,2023-11-12,19:45,Lens,Marseille,1,0
12,2023-12-07,19:30,Brest,Strasbourg,1,1
13,2023-11-24,20:00,Paris SG,Monaco,5,2
13,2023-11-25,16:00,Clermont,Lens,0,3
13,2023-11-25,20:00,Strasbourg,Marseille,1,1
13,2023-11-26,12:00,Nice,Toulouse,1,0
13,2023-11-26,14:00,Lorient,Metz,2,3
13,2023-11-26,14:00,Montpellier,Brest,1,3
13,2023-11-26,14:00,Nantes,Le Havre,0,0
13,2023-11-26,16:05,Rennes,Reims,3,1
13,2023-11-26,19:45,Lyon,Lille,0,2
14,2023-12-01,20:00,Reims,Strasbourg,2,1
14,2023-12-02,16:00,Lens,Lyon,3,2
14,2023-12-02,20:00,Nantes,Nice,1,0
14,2023-12-03,12:00,Le Havre,Paris SG,0,2
14,2023-12-03,14:00,Brest,Clermont,3,0
14,2023-12-03,14:00,Monaco,Montpellier,2,0
14,2023-12-03,14:00,Toulouse,Lorient,1,1
14,2023-12-03,16:05,Lille,Metz,2,0
14,2023-12-03,19:45,Marseille,Rennes,2,0
15,2023-12-08,20:00,Montpellier,Lens,0,0
15,2023-12-09,16:00,Rennes,Monaco,1,2
15,2023-12-09,20:00,Paris SG,Nantes,2,1
15,2023-12-10,12:00,Nice,Reims,2,1
15,2023-12-10,14:00,Clermont,Lille,0,0
15,2023-12-10,14:00,Metz,Brest,0,1
15,2023-12-10,14:00,Strasbourg,Le Havre,2,1
15,2023-12-10,16:05,Lyon,Toulouse,3,0
15,2023-12-10,19:45,Lorient,Marseille,2,4
16,2023-12-15,20:00,Monaco,Lyon,0,1
16,2023-12-16,16:00,Le Havre,Nice,3,1
16,2023-12-16,20:00,Lens,Reims,2,0
16,2023-12-17,12:00,Nantes,Brest,0,2
16,2023-12-17,14:00,Lorient,Strasbourg,1,2
16,2023-12-17,14:00,Metz,Montpellier,0,1
16,2023-12-17,14:00,Toulouse,Rennes,0,0
16,2023-12-17,16:05,Marseille,Clermont,2,1
16,2023-12-17,19:45,Lille,Paris SG,1,1
17,2023-12-20,20:00,Brest,Lorient,4,0
17,2023-12-20,20:00,Clermont,Rennes,1,3
17,2023-12-20,20:00,Lyon,Nantes,1,0
17,2023-12-20,20:00,Montpellier,Marseille,1,1
17,2023-12-20,20:00,Nice,Lens,2,0
17,2023-12-20,20:00,Paris SG,Metz,3,1
17,2023-12-20,20:00,Reims,Le Havre,1,0
17,2023-12-20,20:00,Strasbourg,Lille,2,1
17,2023-12-20,20:00,Toulouse,Monaco,1,2
18,2024-01-12,20:00,Marseille,Strasbourg,1,1
18,2024-01-13,16:00,Monaco,Reims,1,3
18,2024-01-13,20:00,Rennes,Nice,2,0
18,2024-01-14,12:00,Lille,Lorient,3,0
18,2024-01-14,14:00,Brest,Montpellier,2,0
18,2024-01-14,14:00,Metz,Toulouse,0,1
18,2024-01-14,14:00,Nantes,Clermont,1,2
18,2024-01-14,16:05,Le Havre,Lyon,3,1
18,2024-01-14,19:45,Lens,Paris SG,0,2
19,2024-01-26,20:00,Lyon,Rennes,2,3
19,2024-01-27,16:00,Nice,Metz,1,0
19,2024-01-27,20:00,Marseille,Monaco,2,2
19,2024-01-28,12:00,Montpellier,Lille,0,0
19,2024-01-28,14:00,Clermont,Strasbourg,1,1
19,2024-01-28,14:00,Lorient,Le Havre,3,3
19,2024-01-28,14:00,Reims,Nantes,0,0
19,2024-01-28,16:05,Toulouse,Lens,0,2
19,2024-01-28,19:45,Paris SG,Brest,2,2
20,2024-02-02,20:00,Strasbourg,Paris SG,1,2
20,2024-02-03,16:00,Rennes,Montpellier,2,1
20,2024-02-03,20:00,Nantes,Lens,0,1
20,2024-02-04,12:00,Monaco,Le Havre,1,1
20,2024-02-04,14:00,Lille,Clermont,4,0
20,2024-02-04,14:00,Metz,Lorient,1,2
20,2024-02-04,14:00,Reims,Toulouse,2,3
20,2024-02-04,16:05,Brest,Nice,0,0
20,2024-02-04,19:45,Lyon,Marseille,1,0
21,2024-02-09,20:00,Marseille,Metz,1,1
21,2024-02-10,16:00,Lens,Strasbourg,3,1
21,2024-02-10,20:00,Paris SG,Lille,3,1
21,2024-02-11,12:00,Le Havre,Rennes,0,1
21,2024-02-11,14:00,Clermont,Brest,1,1
21,2024-02-11,14:00,Lorient,Reims,2,0
21,2024-02-11,14:00,Toulouse,Nantes,1,2
21,2024-02-11,16:05,Montpellier,Lyon,1,2
21,2024-02-11,19:45,Nice,Monaco,2,3
22,2024-02-16,20:00,Lyon,Nice,1,0
22,2024-02-17,16:00,Lille,Le Havre,3,0
22,2024-02-17,20:00,Nantes,Paris SG,0,2
22,2024-02-18,12:00,Strasbourg,Lorient,1,3
22,2024-02-18,14:00,Monaco,Toulouse,1,2
22,2024-02-18,14:00,Montpellier,Metz,3,0
22,2024-02-18,14:00,Rennes,Clermont,3,1
22,2024-02-18,16:05,Reims,Lens,1,1
22,2024-02-18,19:45,Brest,Marseille,1,0
23,2024-02-23,20:00,Metz,Lyon,1,2
23,2024-02-24,16:00,Lorient,Nantes,0,1
23,2024-02-24,20:00,Strasbourg,Brest,0,3
23,2024-02-25,12:00,Lens,Monaco,2,3
23,2024-02-25,14:00,Le Havre,Reims,1,2
23,2024-02-25,14:00,Nice,Clermont,0,0
23,2024-02-25,14:00,Toulouse,Lille,3,1
23,2024-02-25,16:05,Paris SG,Rennes,1,1
23,2024-02-25,19:45,Marseille,Montpellier,4,1
24,2024-03-01,20:00,Monaco,Paris SG,0,0
24,2024-03-02,16:00,Reims,Lille,0,1
24,2024-03-02,20:00,Clermont,Marseille,1,5
24,2024-03-03,12:00,Toulouse,Nice,2,1
24,2024-03-03,14:00,Brest,Le Havre,1,0
24,2024-03-03,14:00,Montpellier,Strasbourg,2,2
24,2024-03-03,14:00,Nantes,Metz,0,2
24,2024-03-03,16:05,Rennes,Lorient,1,2
24,2024-03-03,19:45,Lyon,Lens,0,3
25,2024-03-08,20:00,Nice,Montpellier,1,2
25,2024-03-09,16:00,Lorient,Lyon,0,2
25,2024-03-09,20:00,Lens,Brest,1,0
25,2024-03-10,12:00,Paris SG,Reims,2,2
25,2024-03-10,14:00,Le Havre,Toulouse,1,0
25,2024-03-10,14:00,Metz,Clermont,1,0
25,2024-03-10,14:00,Strasbourg,Monaco,0,1
25,2024-03-10,16:05,Lille,Rennes,2,2
25,2024-03-10,19:45,Marseille,Nantes,2,0
26,2024-03-15,20:00,Toulouse,Lyon,2,3
26,2024-03-16,16:00,Nantes,Strasbourg,1,3
26,2024-03-16,20:00,Lens,Nice,1,3
26,2024-03-17,12:00,Brest,Lille,1,1
26,2024-03-17,14:00,Clermont,Le Havre,2,1
26,2024-03-17,14:00,Monaco,Lorient,2,2
26,2024-03-17,14:00,Reims,Metz,2,1
26,2024-03-17,16:05,Rennes,Marseille,2,0
26,2024-03-17,19:45,Montpellier,Paris SG,2,6
27,2024-03-29,20:00,Lille,Lens,2,1
27,2024-03-30,16:00,Metz,Monaco,2,5
27,2024-03-30,20:00,Lyon,Reims,1,1
27,2024-03-31,12:00,Lorient,Brest,0,1
27,2024-03-31,14:00,Clermont,Toulouse,0,3
27,2024-03-31,14:00,Le Havre,Montpellier,0,2
27,2024-03-31,14:00,Nice,Nantes,1,2
27,2024-03-31,16:05,Strasbourg,Rennes,2,0
27,2024-03-31,19:45,Marseille,Paris SG,0,2
28,2024-04-05,20:00,Lille,Marseille,3,1
28,2024-04-06,16:00,Lens,Le Havre,1,1
28,2024-04-06,20:00,Paris SG,Clermont,1,1
28,2024-04-07,12:00,Brest,Metz,4,3
28,2024-04-07,14:00,Montpellier,Lorient,2,0
28,2024-04-07,14:00,Reims,Nice,0,0
28,2024-04-07,14:00,Toulouse,Strasbourg,0,0
28,2024-04-07,16:05,Monaco,Rennes,1,0
28,2024-04-07,19:45,Nantes,Lyon,1,3
29,2024-04-12,20:00,Metz,Lens,2,1
29,2024-04-13,16:00,Strasbourg,Reims,3,1
29,2024-04-13,20:00,Rennes,Toulouse,1,2
29,2024-04-14,12:00,Le Havre,Nantes,0,1
29,2024-04-14,14:00,Clermont,Montpellier,1,1
29,2024-04-14,19:45,Lyon,Brest,4,3
29,2024-04-24,18:00,Lorient,Paris SG,1,4
29,2024-04-24,20:00,Marseille,Nice,2,2
29,2024-04-24,20:00,Monaco,Lille,1,0
30,2024-04-19,20:00,Nice,Lorient,3,0
30,2024-04-20,16:00,Nantes,Rennes,0,3
30,2024-04-20,20:00,Lens,Clermont,1,0
30,2024-04-21,14:00,Le Havre,Metz,0,1
30,2024-04-21,14:00,Lille,Strasbourg,1,0
30,2024-04-21,14:00,Reims,Montpellier,1,2
30,2024-04-21,16:05,Brest,Monaco,0,2
30,2024-04-21,18:00,Toulouse,Marseille,2,2
30,2024-04-21,20:00,Paris SG,Lyon,4,1
31,2024-04-26,20:00,Montpellier,Nantes,1,1
31,2024-04-27,20:00,Paris SG,Le Havre,3,3
31,2024-04-28,12:00,Metz,Lille,1,2
31,2024-04-28,14:00,Clermont,Reims,4,1
31,2024-04-28,14:00,Lorient,Toulouse,1,2
31,2024-04-28,14:00,Strasbourg,Nice,1,3
31,2024-04-28,16:05,Rennes,Brest,4,5
31,2024-04-28,18:00,Lyon,Monaco,3,2
31,2024-04-28,20:00,Marseille,Lens,2,1
32,2024-05-03,18:00,Toulouse,Montpellier,1,2
32,2024-05-03,20:00,Lens,Lorient,2,0
32,2024-05-04,14:00,Le Havre,Strasbourg,3,1
32,2024-05-04,16:00,Monaco,Clermont,4,1
32,2024-05-04,18:00,Metz,Rennes,2,3
32,2024-05-04,20:00,Brest,Nantes,0,0
32,2024-05-06,20:00,Lille,Lyon,3,4
32,2024-05-15,21:00,Nice,Paris SG,1,2
32,2024-05-15,21:00,Reims,Marseille,1,0
33,2024-05-10,20:00,Brest,Reims,1,1
33,2024-05-10,20:00,Nice,Le Havre,1,0
33,2024-05-12,20:00,Clermont,Lyon,0,1
33,2024-05-12,20:00,Marseille,Lorient,3,1
33,2024-05-12,20:00,Montpellier,Monaco,0,2
33,2024-05-12,20:00,Nantes,Lille,1,2
33,2024-05-12,20:00,Paris SG,Toulouse,1,3
33,2024-05-12,20:00,Rennes,Lens,1,1
33,2024-05-12,20:00,Strasbourg,Metz,2,1
34,2024-05-19,21:00,Le Havre,Marseille,1,2
34,2024-05-19,21:00,Lens,Montpellier,2,2
34,2024-05-19,21:00,Lille,Nice,2,2
34,2024-05-19,21:00,Lorient,Clermont,5,0
34,2024-05-19,21:00,Lyon,Strasbourg,2,1
34,2024-05-19,21:00,Metz,Paris SG,0,2
34,2024-05-19,21:00,Monaco,Nantes,4,0
34,2024-05-19,21:00,Reims,Rennes,2,1
34,2024-05-19,21:00,Toulouse,Brest,0,3
